algorithm,size,seconds,speedup
radix_sort_tbb,1048576,0.00481,3.224
gpu_radix_sort_opt_2,1048576,0.01364,1.137
bitonic_sort,1048576,0.00052,29.595
thrust_sort,1048576,0.00037,41.806
radix_sort_tbb,1048576,0.00138,5.070
gpu_radix_sort_opt_2,1048576,0.01227,0.570
bitonic_sort,1048576,0.00052,13.525
thrust_sort,1048576,0.00026,26.464
radix_sort_tbb,1048576,0.00144,3.952
gpu_radix_sort_opt_2,1048576,0.01225,0.465
bitonic_sort,1048576,0.00052,11.012
thrust_sort,1048576,0.00029,19.499
radix_sort_tbb,1048576,0.00152,3.608
gpu_radix_sort_opt_2,1048576,0.01226,0.448
bitonic_sort,1048576,0.00052,10.616
thrust_sort,1048576,0.00027,20.578
radix_sort_tbb,1048576,0.00140,3.952
gpu_radix_sort_opt_2,1048576,0.01227,0.452
bitonic_sort,1048576,0.00052,10.747
thrust_sort,1048576,0.00028,20.101
radix_sort_tbb,1048576,0.00138,4.014
gpu_radix_sort_opt_2,1048576,0.01228,0.452
bitonic_sort,1048576,0.00051,10.779
thrust_sort,1048576,0.00026,21.361
radix_sort_tbb,1048576,0.00143,3.908
gpu_radix_sort_opt_2,1048576,0.01226,0.457
bitonic_sort,1048576,0.00052,10.862
thrust_sort,1048576,0.00026,21.466
radix_sort_tbb,1048576,0.00139,3.971
gpu_radix_sort_opt_2,1048576,0.01227,0.451
bitonic_sort,1048576,0.00052,10.720
thrust_sort,1048576,0.00026,21.033
radix_sort_tbb,1048576,0.00136,3.987
gpu_radix_sort_opt_2,1048576,0.01225,0.443
bitonic_sort,1048576,0.00052,10.483
thrust_sort,1048576,0.00027,20.266
radix_sort_tbb,1048576,0.00139,4.016
gpu_radix_sort_opt_2,1048576,0.01229,0.454
bitonic_sort,1048576,0.00052,10.797
thrust_sort,1048576,0.00026,21.584
radix_sort_tbb,1048576,0.00146,3.764
gpu_radix_sort_opt_2,1048576,0.01226,0.449
bitonic_sort,1048576,0.00052,10.642
thrust_sort,1048576,0.00026,21.235
radix_sort_tbb,1048576,0.00144,5.053
gpu_radix_sort_opt_2,1048576,0.01230,0.593
bitonic_sort,1048576,0.00052,14.081
thrust_sort,1048576,0.00028,26.152
radix_sort_tbb,1048576,0.00142,3.912
gpu_radix_sort_opt_2,1048576,0.01227,0.451
bitonic_sort,1048576,0.00052,10.711
thrust_sort,1048576,0.00026,21.216
radix_sort_tbb,1048576,0.00140,4.044
gpu_radix_sort_opt_2,1048576,0.01226,0.463
bitonic_sort,1048576,0.00052,10.969
thrust_sort,1048576,0.00027,21.386
radix_sort_tbb,1048576,0.00137,4.047
gpu_radix_sort_opt_2,1048576,0.01225,0.452
bitonic_sort,1048576,0.00052,10.738
thrust_sort,1048576,0.00026,21.397
radix_sort_tbb,1048576,0.00138,4.053
gpu_radix_sort_opt_2,1048576,0.01224,0.457
bitonic_sort,1048576,0.00052,10.838
thrust_sort,1048576,0.00029,19.645
radix_sort_tbb,1048576,0.00184,2.947
gpu_radix_sort_opt_2,1048576,0.01226,0.442
bitonic_sort,1048576,0.00052,10.504
thrust_sort,1048576,0.00027,20.305
radix_sort_tbb,1048576,0.00135,4.227
gpu_radix_sort_opt_2,1048576,0.01225,0.465
bitonic_sort,1048576,0.00052,11.044
thrust_sort,1048576,0.00029,19.850
radix_sort_tbb,1048576,0.00138,4.021
gpu_radix_sort_opt_2,1048576,0.01226,0.452
bitonic_sort,1048576,0.00052,10.718
thrust_sort,1048576,0.00026,21.396
radix_sort_tbb,1048576,0.00141,3.931
gpu_radix_sort_opt_2,1048576,0.01225,0.452
bitonic_sort,1048576,0.00052,10.728
thrust_sort,1048576,0.00027,20.802
radix_sort_tbb,1048576,0.00139,4.042
gpu_radix_sort_opt_2,1048576,0.01225,0.460
bitonic_sort,1048576,0.00052,10.857
thrust_sort,1048576,0.00026,21.844
radix_sort_tbb,1048576,0.00137,4.038
gpu_radix_sort_opt_2,1048576,0.01232,0.448
bitonic_sort,1048576,0.00052,10.645
thrust_sort,1048576,0.00026,21.379
radix_sort_tbb,1048576,0.00139,3.984
gpu_radix_sort_opt_2,1048576,0.01225,0.452
bitonic_sort,1048576,0.00052,10.701
thrust_sort,1048576,0.00027,20.873
radix_sort_tbb,1048576,0.00140,3.911
gpu_radix_sort_opt_2,1048576,0.01225,0.447
bitonic_sort,1048576,0.00052,10.584
thrust_sort,1048576,0.00026,20.880
radix_sort_tbb,1048576,0.00138,4.696
gpu_radix_sort_opt_2,1048576,0.01227,0.527
bitonic_sort,1048576,0.00052,12.537
thrust_sort,1048576,0.00029,22.637
radix_sort_tbb,1048576,0.00158,3.576
gpu_radix_sort_opt_2,1048576,0.01225,0.462
bitonic_sort,1048576,0.00052,10.967
thrust_sort,1048576,0.00026,21.625
radix_sort_tbb,1048576,0.00139,3.967
gpu_radix_sort_opt_2,1048576,0.01227,0.448
bitonic_sort,1048576,0.00052,10.608
thrust_sort,1048576,0.00026,21.051
radix_sort_tbb,1048576,0.00136,4.225
gpu_radix_sort_opt_2,1048576,0.01230,0.466
bitonic_sort,1048576,0.00052,11.114
thrust_sort,1048576,0.00026,21.706
radix_sort_tbb,1048576,0.00144,3.845
gpu_radix_sort_opt_2,1048576,0.01225,0.451
bitonic_sort,1048576,0.00052,10.663
thrust_sort,1048576,0.00026,21.075
radix_sort_tbb,1048576,0.00145,3.785
gpu_radix_sort_opt_2,1048576,0.01226,0.448
bitonic_sort,1048576,0.00052,10.635
thrust_sort,1048576,0.00026,21.192
radix_sort_tbb,1048576,0.00199,2.800
gpu_radix_sort_opt_2,1048576,0.01226,0.454
bitonic_sort,1048576,0.00052,10.784
thrust_sort,1048576,0.00026,21.312
radix_sort_tbb,1048576,0.00136,4.137
gpu_radix_sort_opt_2,1048576,0.01229,0.459
bitonic_sort,1048576,0.00052,10.845
thrust_sort,1048576,0.00028,20.129
radix_sort_tbb,1048576,0.00141,3.893
gpu_radix_sort_opt_2,1048576,0.01225,0.448
